"Callsign","Frequency","City","State","Licensee","Format"
"WESZ-LP","98.7 FM","Abbeville","Alabama","First Family Broadcasting","Other"
"WIZB","94.3 FM","Abbeville","Alabama","Aloha Station Trust, LLC","News and Talk"
"WQAH-FM","105.7 FM","Addison","Alabama","WRVM, Inc.","Religious"
"WQCR","1500 AM","Alabaster","Alabama","Mississippi Valley Broadcasters","Country"
"WZAL-LP","99.9 FM","Alabaster","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WAVU","630 AM","Albertville","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WWGC","1090 AM","Albertville","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WQSB","105.1 FM","Albertville","Alabama","Capstar TX LLC","Country"
"WLMA","1050 AM","Alexander City","Alabama","Elyria-Lorain Broadcasting Co.","Rock, Alternative, or Indie"
"WSTH-FM","106.1 FM","Alexander City","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WAAO-FM","93.7 FM","Andalusia","Alabama","LAZER BROADCASTING LLC","International"
"WSTF","91.5 FM","Andalusia","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WDNG","1450 AM","Anniston","Alabama","WDLW Radio, Inc.","Oldies"
"WFZX","1490 AM","Anniston","Alabama","Capstar TX LLC","Rock, Alternative, or Indie"
"WHMA","1390 AM","Anniston","Alabama","CC Licenses, LLC","News and Talk"
"WGRW","90.7 FM","Anniston","Alabama","Radio License Holding SRC LLC","Other"
"WLUG-LP","106.3 FM","Anniston","Alabama","CC Licenses, LLC","News and Talk"
"WRAB","1380 AM","Arab","Alabama","Seehafer Broadcasting Corporation","Rock, Alternative, or Indie"
"WAFN-FM","92.7 FM","Arab","Alabama","LAZER BROADCASTING LLC","International"
"WKRE","88.1 FM","Argo","Alabama","Citicasters Licenses, Inc.","News and Talk"
"WCKF","100.7 FM","Ashland","Alabama","Jackson County Broadcasting, Inc.","Country"
"WKAC","1080 AM","Athens","Alabama","Urban Radio Licenses, LLC","Pop or Contemporary"
"WVNN","770 AM","Athens","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
