Callsign,Frequency,Location,AM or FM,City,State,Licensee,Format,Link
WESZ-LP,98.7 FM,"Abbeville, Alabama",FM,Abbeville,Alabama,First Family Broadcasting,Adult standards,
WIZB,94.3 FM,"Abbeville, Alabama",FM,Abbeville,Alabama,"Aloha Station Trust, LLC",News/talk,
WQAH-FM,105.7 FM,"Addison, Alabama",FM,Addison,Alabama,"WRVM, Inc.",Religious,
WQCR,1500 AM,"Alabaster, Alabama",AM,Alabaster,Alabama,Mississippi Valley Broadcasters,Country,
WZAL-LP,99.9 FM,"Alabaster, Alabama",FM,Alabaster,Alabama,"Legend Communications of Wyoming, LLC",Hot adult contemporary,
WAVU,630 AM,"Albertville, Alabama",AM,Albertville,Alabama,"Winnipesaukee Radio Station, LLC",Adult standards/MOR,
WWGC,1090 AM,"Albertville, Alabama",AM,Albertville,Alabama,"Legend Communications of Wyoming, LLC",Hot adult contemporary,
WQSB,105.1 FM,"Albertville, Alabama",FM,Albertville,Alabama,Capstar TX LLC,Country,
WLMA,1050 AM,"Alexander City, Alabama",AM,Alexander City,Alabama,Elyria-Lorain Broadcasting Co.,Adult album alternative,
WJHO,89.7 FM,"Alexander City, Alabama",FM,Alexander City,Alabama,Zanesville Christian Media,,
WSTH-FM,106.1 FM,"Alexander City, Alabama",FM,Alexander City,Alabama,"Legend Communications of Wyoming, LLC",Hot adult contemporary,
WAAO-FM,93.7 FM,"Andalusia, Alabama",FM,Andalusia,Alabama,LAZER BROADCASTING LLC,REGIONAL MEXICAN,
WDWZ,89.3 FM,"Andalusia, Alabama",FM,Andalusia,Alabama,"Light of Life Community, Inc.",,
WSTF,91.5 FM,"Andalusia, Alabama",FM,Andalusia,Alabama,"Legend Communications of Wyoming, LLC",Hot adult contemporary,
WDNG,1450 AM,"Anniston, Alabama",AM,Anniston,Alabama,"WDLW Radio, Inc.",Oldies,
WFZX,1490 AM,"Anniston, Alabama",AM,Anniston,Alabama,Capstar TX LLC,Classic rock,
WHMA,1390 AM,"Anniston, Alabama",AM,Anniston,Alabama,"CC Licenses, LLC",News/talk,
WGRW,90.7 FM,"Anniston, Alabama",FM,Anniston,Alabama,Radio License Holding SRC LLC,Classic hits,
